iter	Passed	Remaining
840	3996	755
841	4005	751
842	4011	747
843	4016	742
844	4021	737
845	4025	732
846	4029	727
847	4033	723
848	4043	719
849	4051	714
850	4059	710
851	4063	705
852	4069	701
853	4077	697
854	4081	692
855	4087	687
856	4091	682
857	4095	677
858	4101	673
859	4106	668
860	4110	663
861	4115	658
862	4119	654
863	4123	649
864	4133	645
865	4140	640
866	4148	636
867	4153	631
868	4157	626
869	4160	621
870	4168	617
871	4173	612
872	4177	607
873	4181	602
874	4185	597
875	4188	592
876	4191	587
877	4194	582
878	4202	578
879	4205	573
880	4208	568
881	4214	563
882	4217	558
883	4220	553
884	4224	548
885	4228	544
886	4235	539
887	4239	534
888	4244	529
889	4249	525
890	4252	520
891	4255	515
892	4258	510
893	4265	505
894	4269	500
895	4273	496
896	4280	491
897	4284	486
898	4287	481
899	4290	476
900	4297	472
901	4301	467
902	4304	462
903	4308	457
904	4312	452
905	4315	447
906	4318	442
907	4321	437
908	4325	433
909	4330	428
910	4333	423
911	4336	418
912	4338	413
913	4343	408
914	4346	403
915	4349	398
916	4352	393
917	4356	389
918	4362	384
919	4365	379
920	4368	374
921	4374	370
922	4377	365
923	4380	360
924	4383	355
925	4389	350
926	4394	346
927	4397	341
928	4401	336
929	4405	331
930	4409	326
931	4413	322
932	4417	317
933	4423	312
934	4427	307
935	4430	302
936	4433	298
937	4438	293
938	4442	288
939	4445	283
940	4448	278
941	4453	274
942	4458	269
943	4461	264
944	4464	259
945	4469	255
946	4472	250
947	4476	245
948	4480	240
949	4485	236
950	4491	231
951	4494	226
952	4497	221
953	4502	217
954	4506	212
955	4509	207
956	4512	202
957	4517	198
958	4521	193
959	4525	188
960	4528	183
961	4531	179
962	4535	174
963	4539	169
964	4542	164
965	4545	159
966	4551	155
967	4556	150
968	4559	145
969	4563	141
970	4568	136
971	4572	131
972	4575	126
973	4578	122
974	4585	117
975	4589	112
976	4592	108
977	4596	103
978	4600	98
979	4603	93
980	4606	89
981	4609	84
982	4616	79
983	4620	75
984	4623	70
985	4626	65
986	4631	61
987	4634	56
988	4637	51
989	4640	46
990	4647	42
991	4651	37
992	4654	32
993	4657	28
994	4663	23
995	4666	18
996	4669	14
997	4673	9
998	4676	4
999	4681	0
