iter	RMSE
398	1.261331949
399	1.257635064
400	1.254946647
401	1.252813052
402	1.250021565
403	1.246690076
404	1.24330413
405	1.23993874
406	1.237331652
407	1.234834077
408	1.232065566
409	1.230750184
410	1.228252057
411	1.225942518
412	1.223751725
413	1.220731953
414	1.219408421
415	1.216757095
416	1.213964644
417	1.211349967
418	1.209939959
419	1.206032967
420	1.204649691
421	1.202639433
422	1.200555605
423	1.196864087
424	1.194709665
425	1.192223856
426	1.189792004
427	1.18689465
428	1.184764813
429	1.182414177
430	1.180167753
431	1.178052011
432	1.176344067
433	1.173283434
434	1.17242985
435	1.170774269
436	1.168178908
437	1.165357735
438	1.162552705
439	1.159503615
440	1.157232445
441	1.156086995
442	1.153435297
443	1.150885272
444	1.148799005
445	1.146683485
446	1.145268969
447	1.143134242
448	1.13984524
449	1.136801001
450	1.135584106
451	1.133949355
452	1.133499175
453	1.131635796
454	1.129823941
455	1.128004269
456	1.127461911
457	1.125231984
458	1.122664263
459	1.121833929
460	1.119300196
461	1.117492947
462	1.11533328
463	1.111749627
464	1.109721146
465	1.107219735
466	1.105324697
467	1.102614735
468	1.099695599
469	1.098413872
470	1.096350318
471	1.094375268
472	1.092642282
473	1.090834932
474	1.089104993
475	1.086785482
476	1.085686211
477	1.083794596
478	1.081898032
479	1.079954205
480	1.077670094
481	1.074983932
482	1.073997442
483	1.070963566
484	1.07046119
485	1.068830048
486	1.066278592
487	1.064157471
488	1.061175568
489	1.059212074
490	1.05780738
491	1.055503969
492	1.053495125
493	1.051104685
494	1.048416087
495	1.046489834
496	1.045023652
497	1.043000685
498	1.040791521
499	1.039421474
500	1.037530202
501	1.036181746
502	1.033084042
503	1.030532742
504	1.028067788
505	1.026249581
506	1.024443037
507	1.022746608
508	1.020923668
509	1.018936434
510	1.017531466
511	1.015744172
512	1.013306284
513	1.011226954
514	1.008655103
515	1.007210435
516	1.005667233
517	1.003102854
518	1.00074396
519	0.9991665385
520	0.9969338531
521	0.9956552095
522	0.993403221
523	0.9921129195
524	0.9901150523
525	0.9897098177
526	0.9884212986
527	0.9867107452
528	0.9860393355
529	0.9847271864
530	0.9833917359
531	0.9813960743
532	0.979828377
533	0.9786528197
534	0.9770108638
535	0.9753374905
536	0.9739266122
537	0.9728704874
538	0.9716333896
539	0.9694337397
540	0.9674017857
541	0.9654170396
542	0.9625859715
543	0.9622269351
544	0.9605455966
545	0.9585655652
546	0.9564012214
547	0.9557426424
548	0.9541215187
549	0.9534929053
550	0.951859101
551	0.9497793533
552	0.9477624125
553	0.9460796642
554	0.9438146575
555	0.9420731234
556	0.9400085903
557	0.938577566
558	0.9371170541
559	0.9351756454
560	0.9344407565
561	0.9317092111
562	0.9295741577
563	0.9292088453
564	0.9272778446
565	0.9251434597
566	0.9230622967
567	0.9211465496
568	0.9201260525
569	0.9180470967
570	0.9160523972
571	0.9141162359
572	0.9131509837
573	0.910971798
574	0.9085976894
575	0.9065400706
576	0.9042762415
577	0.9028542204
578	0.9024838447
579	0.9021359037
580	0.9008691531
581	0.8991706346
582	0.8983347793
583	0.8967518994
584	0.8953849741
585	0.8941253019
586	0.8925455654
587	0.8909763949
588	0.8906428079
589	0.8886821283
590	0.8871554224
591	0.8852954785
592	0.8832194525
593	0.8810808515
594	0.8789704737
595	0.878670001
596	0.8770200123
597	0.8766913167
598	0.8764026972
599	0.8750764944
600	0.8731474175
601	0.8728723129
602	0.8725816143
603	0.8714720101
604	0.8692910966
605	0.8671918785
606	0.8670132627
607	0.865427386
608	0.8639937433
609	0.8626146316
610	0.8609240929
611	0.8595052967
612	0.8592528809
613	0.857555902
614	0.8552311718
615	0.8534230981
616	0.852175624
617	0.8519199442
618	0.8504429814
619	0.8490640936
620	0.8473772533
621	0.8464284006
622	0.8447568946
623	0.8436101227
624	0.8418769146
625	0.8407669553
626	0.8388223457
627	0.8373018023
628	0.8358404406
629	0.8356065262
630	0.8353902467
631	0.8335048507
632	0.8332412281
633	0.8313220412
634	0.829674896
635	0.8289576061
636	0.8279118169
637	0.8267103818
638	0.8255690158
639	0.8246469906
640	0.8243932875
641	0.8235498651
642	0.8232958857
643	0.8219170107
644	0.820305872
645	0.8194026861
646	0.8181455692
647	0.8169143147
648	0.8152649914
649	0.8136843951
650	0.8115341548
651	0.8103025138
652	0.8085929503
653	0.8077808694
654	0.8063966521
655	0.8052377733
656	0.8038666947
657	0.8023894814
658	0.8013992157
659	0.7999880026
660	0.7986278056
661	0.7978920064
662	0.7973296873
663	0.7960423914
664	0.7947160115
665	0.7944653365
666	0.7930878329
667	0.7918296129
668	0.7906439672
669	0.7893674498
670	0.7891297628
671	0.7876969659
